嗚呼,ああ
現像,げんぞう
原則,げんそく
見地,けんち
現地,げんち
限定,げんてい
原典,げんてん
原点,げんてん
減点,げんてん
現場,げんば
原爆,げんばく
原文,げんぶん
賢明,けんめい
倹約,けんやく
原油,げんゆ
原油,げんゆ
兼用,けんよう
権力,けんりょく
言論,げんろん
子,こ
戸,こ
故,こ
御,ご
コーナー,コーナー
語彙,ごい
恋する,こいする
恋する,こいする
校,こう
溝,こう
号,ごう
壕,ごう
業,ごう
好意,こうい
行為,こうい
合意,ごうい
行員,こういん
交易,こうえき
公演,こうえん
公開,こうかい
公開,こうかい
公開,こうかい
後悔,こうかい
航海,こうかい
抗議,こうぎ
合議,ごうぎ
豪儀,ごうぎ
皇居,こうきょ
好況,こうきょう
興業,こうぎょう
鉱業,こうぎょう
高原,こうげん
交互,こうご
煌々,こうこう
考古学,こうこがく
工作,こうさく
耕作,こうさく
鉱山,こうざん
講習,こうしゅう
口述,こうじゅつ
控除,こうじょ
交渉,こうしょう
高尚,こうしょう
向上,こうじょう
行進,こうしん
香辛料,こうしんりょう
降水,こうすい
洪水,こうずい
合成,ごうせい
公然,こうぜん
抗争,こうそう
構想,こうそう
拘束,こうそく
光沢,こうたく
公団,こうだん
好調,こうちょう
口頭,こうとう
口頭,こうとう
講読,こうどく
購読,こうどく
購入,こうにゅう
公認,こうにん
光熱費,こうねつひ
荒廃,こうはい
購買,こうばい
好評,こうひょう
降伏,こうふく
興奮,こうふん
公募,こうぼ
巧妙,こうみょう
公用,こうよう
公立,こうりつ
効率,こうりつ
護衛,ごえい
小柄,こがら
小柄,こがら
小切手,こぎって
漕ぐ,こぐ
語句,ごく
国産,こくさん
国定,こくてい
国土,こくど
国土,こくど
国防,こくぼう
国有,こくゆう
極楽,ごくらく
国連,こくれん
ご苦労さま,ごくろうさま
こげ茶,こげちゃ
語源,ごげん
心地,ここち
心地,ここち
凝らす,こごらす
凝る,こごる
心得,こころえ
心がけ,こころがけ
心がける,こころがける
志,こころざし
志,こころざし
志,こころざし
志,こころざし
志す,こころざす
心強い,こころづよい
